objid,ra,dec,u,g,r,i,z,run,camcol,field,specObjID
1237659120933077509,214.150860915842,52.220137002857,26.00127,22.70438,21.92644,22.01675,20.91559,3177,6,61,0
1237659120933077524,214.172661673489,52.236870083711,23.83115,22.72278,21.45326,21.05982,20.30027,3177,6,61,0
1237659120933077539,214.219905108833,52.2910669536479,26.45848,21.66648,19.86858,19.17521,18.84881,3177,6,61,0
1237659120933077546,214.271248664283,52.3517560742763,24.2875,23.06013,21.99159,21.58752,21.43291,3177,6,61,0
1237659120933077552,214.239502633351,52.3029610494456,22.95907,21.77859,20.11523,19.47637,18.91474,3177,6,61,0
1237659120933077563,214.172463189725,52.1903791911936,23.45469,22.26649,21.49707,21.14332,21.6713,3177,6,61,0
1237659120933077565,214.21809096683,52.2520297498828,26.36522,22.38631,21.45046,20.97411,20.64675,3177,6,61,0
1237659120933077570,214.23948622525,52.275934906923,24.06235,22.78832,21.74785,21.64478,21.14122,3177,6,61,0
1237659120933077571,214.196311633079,52.2137242807188,26.25625,22.95566,21.74484,21.30241,20.94554,3177,6,61,0
1237659120933077575,214.303157809222,52.3585575219758,25.10667,22.25148,21.93628,21.80066,23.27777,3177,6,61,0
1237659120933077597,214.238124341198,52.2551869439874,24.84079,22.36004,20.82428,19.8684,19.36256,3177,6,61,0
1237659120933077600,214.219976886897,52.2276228709356,22.16234,22.23202,21.2393,20.80492,20.6548,3177,6,61,0
1237659120933077267,214.127455466361,52.4030212872793,24.35102,21.7352,21.04089,21.12095,21.50689,3177,6,61,0
1237659120933077265,214.10435763438,52.3728811730729,24.61132,22.78906,21.74343,20.42115,19.66429,3177,6,61,5648741908216043520
1237659120933077184,214.103416171271,52.27362572227,20.45792,19.79184,19.10114,18.74107,18.54207,3177,6,61,0
1237659120933077711,214.12840168486,52.3355689913411,22.70832,24.86341,21.42822,21.07743,21.56159,3177,6,61,0
1237659120933077714,214.150444305209,52.3577932958647,22.59297,23.96606,21.85695,21.28863,22.13186,3177,6,61,0
1237659120933077735,214.103737625357,52.2491663679832,23.44198,22.56137,21.37988,21.16818,21.00595,3177,6,61,0
1237659120933077739,214.126788005186,52.2785647409045,26.04495,22.72646,21.47208,21.24521,20.71015,3177,6,61,0
1237659120933077744,214.10519771548,52.2422360957636,23.21335,22.76809,21.35109,21.15773,20.7654,3177,6,61,0
1237659120933077758,214.126066417483,52.236080818138,23.23027,22.4581,21.10989,20.42478,19.88826,3177,6,61,0
1237659120933077785,214.237985343282,52.3290987653913,22.57959,23.18624,21.77571,21.66813,21.12435,3177,6,61,0
1237659120933077796,214.272554183289,52.3589671031218,22.94395,22.66004,21.75371,21.41425,20.36085,3177,6,61,0
1237659120933077171,214.218715433187,52.2237405407827,22.78682,21.47607,20.07509,18.80458,18.05856,3177,6,61,0
1237659120933077163,214.172700116475,52.4143012197915,22.38989,20.80842,19.59792,18.9954,18.74126,3177,6,61,0
1237659120933077159,214.128325696625,52.4001493497931,23.28335,20.97118,19.64046,18.62646,18.10713,3177,6,61,0
1237659120933077148,214.238359644674,52.3548402338081,22.40806,20.35065,18.86427,17.81828,17.262,3177,6,61,7917461569268897792
1237659120933077142,214.197491926782,52.3529747467581,22.15119,20.00964,18.61978,18.02073,17.64601,3177,6,61,0
1237659120933077140,214.126830566779,52.2887316752398,22.01783,20.43842,18.97725,18.06557,17.57309,3177,6,61,0
1237659120933077116,214.272449031901,52.3226778059554,20.99104,19.82905,19.32177,19.19189,19.18535,3177,6,61,0
1237659120933077036,214.170538967658,52.2512412625289,23.35591,22.8771,21.98674,21.29951,21.2622,3177,6,61,0
1237659120933077006,214.127514670709,52.3580633310259,22.64812,22.57824,21.75173,20.75159,20.42939,3177,6,61,0
1237659120933142738,214.301089052828,52.2821686778397,20.70085,20.63331,20.55163,20.24299,19.85649,3177,6,62,8263038079381821440
1237659120933142742,214.346428990496,52.2540648152798,20.87572,20.27152,20.08101,20.07557,19.62078,3177,6,62,8263028457363232768
1237659120933077004,214.126281652872,52.3414444394303,23.73362,21.92135,20.04217,19.46565,19.25691,3177,6,61,0
1237659120933012205,213.970088193151,52.3660161732582,22.8268,22.95497,21.43755,20.58888,19.91859,3177,6,60,0
1237659120933012200,213.903059909611,52.2769680141812,25.31513,23.55258,21.32667,20.26149,19.04196,3177,6,60,240015548335020032
1237659120933012183,213.954232617726,52.4066903485843,22.22462,22.90615,21.77918,21.01809,20.4981,3177,6,60,0
1237659120933012179,213.953401346198,52.4186712671865,23.23082,22.8166,21.69053,21.54766,21.01732,3177,6,60,0
1237659120933012156,213.918501721601,52.4091037570699,22.29974,23.63248,21.98125,21.23395,20.48282,3177,6,60,0
1237659120396009523,213.200769479237,52.2121145127471,19.80993,19.61939,19.54395,19.3958,19.61769,3177,5,58,8263070240096933888
1237659120396009564,213.31554738341,52.1192008134513,20.94527,19.81881,19.4535,19.37857,19.35732,3177,5,58,0
1237659120396009565,213.246387285333,51.9902964416477,20.35769,19.87647,19.83164,19.95227,19.80553,3177,5,58,8264195865763403776
1237659120396009666,213.315903771843,52.0584783256747,21.31612,20.69182,20.31821,20.0938,19.80788,3177,5,58,7914042637593892864
1237659120396075079,213.422042055649,52.0307835685792,20.04485,18.35253,17.39157,16.82834,16.43071,3177,5,59,1176654783688239104
1237659120396140668,213.67748950561,52.0072355481406,19.12203,17.89362,17.36946,17.04395,16.90541,3177,5,60,1176664954170796032
1237659120396141216,213.660198231398,52.0636923466576,26.12716,23.03364,21.43638,20.63194,20.24375,3177,5,60,0
